"track_id","race_date","race_number","country","conditions_of_race","status","race_type","age_restriction","sex_restriction","stakes_indicator","distance_id","distance_unit","surface","course_type","purse_usa","wps_pool","post_time","track_condition","weather","breed_type","minimum_claim_price","maximum_claim_price","number_of_runners","track_type","state","active_indicator","handle","num_start","race_time"
"CRC","30-Sep-04",1,"USA",,"C","MCL",34,"F","N",700,"F","D","D",7500,63601,1253,"FT","C","TB",12500,12500,5,"T","FL","Y",203559,7,"12:53"
"CRC","30-Sep-04",2,"USA",,"C","MCL",34,"F","N",700,"F","D","D",7500,78557,116,"FT","C","TB",12500,12500,8,"T","FL","Y",292608,8,"13:16"
"CRC","30-Sep-04",3,"USA","C","C","CLM","3U","B","N",700,"F","D","D",14500,101803,143,"FT","C","TB",14000,16000,6,"T","FL","Y",300607,6,"13:43"
"CRC","30-Sep-04",4,"USA",,"C","MSW",34,"F","N",900,"F","D","D",26000,76741,210,"FT","C","TB",0,0,8,"T","FL","Y",268594,10,"14:10"
"CRC","30-Sep-04",5,"USA","C","C","CLM","3U","B","N",550,"F","D","D",11000,73135,238,"FT","C","TB",9000,10000,8,"T","FL","Y",213794,8,"14:38"
"CRC","30-Sep-04",6,"USA",,"C","MCL",2,,"N",600,"F","D","D",7500,70435,306,"FT","C","TB",12500,12500,8,"T","FL","Y",221825,8,"15:06"
"CRC","30-Sep-04",7,"USA",,"C","STR",2,,"N",600,"F","D","D",21000,100131,335,"FT","C","TB",0,25000,7,"T","FL","Y",291579,7,"15:35"
"CRC","30-Sep-04",8,"USA","NW2     L","C","CLM",2,,"N",550,"F","D","D",19000,87700,404,"FT","C","TB",22500,25000,9,"T","FL","Y",256282,10,"16:04"
"CRC","30-Sep-04",9,"USA",,"C","MCL",34,,"N",650,"F","D","D",7500,76310,432,"FT","C","TB",12500,12500,7,"T","FL","Y",295158,8,"16:32"
"CRC","1-Oct-04",1,"USA",,"C","MCL",2,,"N",600,"F","D","D",18000,68689,1250,"FT","C","TB",22500,25000,6,"T","FL","Y",210454,7,"12:50"
"CRC","1-Oct-04",2,"USA",,"C","MCL",34,"F","N",550,"F","D","D",7500,74479,119,"FT","C","TB",12500,12500,6,"T","FL","Y",280052,7,"13:19"
