track_id,race_date,race_number,country,conditions_of_race,status,race_type,age_restriction,sex_restriction,stakes_indicator,distance_id,distance_unit,surface,course_type,purse_usa,wps_pool,post_time,track_condition,weather,breed_type,minimum_claim_price,maximum_claim_price,number_of_runners,mon_yr,track_type,track_name,state,active_indicator,handle,num_start,attendance_day,handle_day
CRC,30-Sep-04,1,USA,,C,MCL,34,F,N,700,F,D,D,7500,63601,1253,FT,C,TB,12500,12500,5,Jan-60,T,CALDER RACE COURSE,FL,Y,203559,7,2925,225584
CRC,30-Sep-04,2,USA,,C,MCL,34,F,N,700,F,D,D,7500,78557,116,FT,C,TB,12500,12500,8,Jan-60,T,CALDER RACE COURSE,FL,Y,292608,8,2925,225584
CRC,30-Sep-04,3,USA,C,C,CLM,3U,B,N,700,F,D,D,14500,101803,143,FT,C,TB,14000,16000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,300607,6,2925,225584
CRC,30-Sep-04,4,USA,,C,MSW,34,F,N,900,F,D,D,26000,76741,210,FT,C,TB,0,0,8,Jan-60,T,CALDER RACE COURSE,FL,Y,268594,10,2925,225584
CRC,30-Sep-04,5,USA,C,C,CLM,3U,B,N,550,F,D,D,11000,73135,238,FT,C,TB,9000,10000,8,Jan-60,T,CALDER RACE COURSE,FL,Y,213794,8,2925,225584
CRC,30-Sep-04,6,USA,,C,MCL,2,,N,600,F,D,D,7500,70435,306,FT,C,TB,12500,12500,8,Jan-60,T,CALDER RACE COURSE,FL,Y,221825,8,2925,225584
CRC,30-Sep-04,7,USA,,C,STR,2,,N,600,F,D,D,21000,100131,335,FT,C,TB,0,25000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,291579,7,2925,225584
CRC,30-Sep-04,8,USA,NW2     L,C,CLM,2,,N,550,F,D,D,19000,87700,404,FT,C,TB,22500,25000,9,Jan-60,T,CALDER RACE COURSE,FL,Y,256282,10,2925,225584
CRC,30-Sep-04,9,USA,,C,MCL,34,,N,650,F,D,D,7500,76310,432,FT,C,TB,12500,12500,7,Jan-60,T,CALDER RACE COURSE,FL,Y,295158,8,2925,225584
CRC,01-Oct-04,1,USA,,C,MCL,2,,N,600,F,D,D,18000,68689,1250,FT,C,TB,22500,25000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,210454,7,3208,270824
CRC,01-Oct-04,2,USA,,C,MCL,34,F,N,550,F,D,D,7500,74479,119,FT,C,TB,12500,12500,6,Jan-60,T,CALDER RACE COURSE,FL,Y,280052,7,3208,270824
CRC,01-Oct-04,3,USA,,C,MCL,2,F,N,600,F,D,D,18000,119366,148,FT,C,TB,22500,25000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,391797,7,3208,270824
CRC,01-Oct-04,4,USA,C,C,CLM,3U,,N,550,F,D,D,11000,83299,213,FT,C,TB,9000,10000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,269638,7,3208,270824
CRC,01-Oct-04,5,USA,,C,MSW,34,,N,900,F,D,D,26000,108354,243,FT,C,TB,0,0,8,Jan-60,T,CALDER RACE COURSE,FL,Y,330726,12,3208,270824
CRC,01-Oct-04,6,USA,,C,MCL,2,F,N,800,F,D,D,13500,124468,313,FT,C,TB,18000,20000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,366920,7,3208,270824
CRC,01-Oct-04,7,USA,,C,CLM,3U,,N,600,F,D,D,12000,121366,342,FT,C,TB,10500,12500,6,Jan-60,T,CALDER RACE COURSE,FL,Y,331445,7,3208,270824
CRC,01-Oct-04,8,USA,,C,STR,2,F,N,600,F,D,D,18000,108945,412,FT,C,TB,0,20000,5,Jan-60,T,CALDER RACE COURSE,FL,Y,252447,7,3208,270824
CRC,01-Oct-04,9,USA,NW3     L,C,AOC,3U,,N,850,F,D,D,29000,86918,442,FT,C,TB,18000,20000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,280559,8,3208,270824
CRC,01-Oct-04,10,USA,,C,MCL,2,F,N,550,F,D,D,7500,87165,513,FT,C,TB,12500,12500,8,Jan-60,T,CALDER RACE COURSE,FL,Y,376049,8,3208,270824
CRC,02-Oct-04,1,USA,C,C,CLM,3U,B,N,650,F,D,D,11000,71227,1250,FT,C,TB,9000,10000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,231993,6,6270,623708
CRC,02-Oct-04,2,USA,,C,CLM,3U,B,N,600,F,D,D,8000,99018,118,FT,C,TB,6250,6250,7,Jan-60,T,CALDER RACE COURSE,FL,Y,381658,7,6270,623708
CRC,02-Oct-04,3,USA,NW2       X,C,AOC,3U,,N,850,F,D,D,29000,130935,146,FT,C,TB,22500,25000,5,Jan-60,T,CALDER RACE COURSE,FL,Y,309148,6,6270,623708
CRC,02-Oct-04,4,USA,,C,MSW,2,,N,850,F,T,T,29000,170784,215,GD,C,TB,0,0,10,Jan-60,T,CALDER RACE COURSE,FL,Y,515275,10,6270,623708
CRC,02-Oct-04,5,USA,NW1       X,C,ALW,2,F,N,600,F,D,D,31000,133469,242,FT,C,TB,0,0,8,Jan-60,T,CALDER RACE COURSE,FL,Y,447592,9,6270,623708
CRC,02-Oct-04,6,USA,,C,MCL,2,,N,600,F,D,D,23000,212789,315,FT,C,TB,45000,50000,8,Jan-60,T,CALDER RACE COURSE,FL,Y,616075,9,6270,623708
CRC,02-Oct-04,7,USA,NW1       X,C,AOC,3U,,N,850,F,D,D,27000,104164,342,FT,C,TB,14000,16000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,317081,9,6270,623708
CRC,02-Oct-04,8,USA,,C,STK,2,F,Y,832,F,D,D,100000,93121,408,FT,O,TB,0,0,6,Jan-60,T,CALDER RACE COURSE,FL,Y,271875,7,6270,623708
CRC,02-Oct-04,9,USA,,C,MSW,2,,N,850,F,T,T,29000,179077,437,GD,O,TB,0,0,8,Jan-60,T,CALDER RACE COURSE,FL,Y,462020,11,6270,623708
CRC,02-Oct-04,10,USA,,C,STK,2,,Y,832,F,D,D,100000,112799,505,FT,L,TB,0,0,8,Jan-60,T,CALDER RACE COURSE,FL,Y,407250,8,6270,623708
CRC,02-Oct-04,11,USA,C,C,CLM,3U,,N,850,F,D,D,11000,88087,531,FT,L,TB,9000,10000,8,Jan-60,T,CALDER RACE COURSE,FL,Y,263608,9,6270,623708
CRC,02-Oct-04,12,USA,NW2     L,C,CLM,3U,,N,800,F,D,D,13500,111036,558,FT,L,TB,14000,16000,8,Jan-60,T,CALDER RACE COURSE,FL,Y,350224,8,6270,623708
CRC,02-Oct-04,13,USA,,C,MCL,34,,N,850,F,D,D,7500,97788,626,FT,L,TB,12500,12500,7,Jan-60,T,CALDER RACE COURSE,FL,Y,367898,7,6270,623708
CRC,03-Oct-04,1,USA,,C,MSW,34,,N,600,F,D,D,26000,67995,1252,FT,C,TB,0,0,7,Jan-60,T,CALDER RACE COURSE,FL,Y,230058,7,4146,354182
CRC,03-Oct-04,2,USA,C,C,CLM,3U,B,N,850,F,D,D,11000,53514,118,FT,C,TB,9000,10000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,230376,7,4146,354182
CRC,03-Oct-04,3,USA,,C,MSW,2,,N,850,F,T,T,29000,118030,148,GD,C,TB,0,0,8,Jan-60,T,CALDER RACE COURSE,FL,Y,363564,11,4146,354182
CRC,03-Oct-04,4,USA,C,C,CLM,3U,,N,650,F,D,D,21000,92429,215,FT,C,TB,22500,25000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,281399,7,4146,354182
CRC,03-Oct-04,5,USA,,C,CLM,3U,,N,650,F,D,D,8000,113946,242,FT,C,TB,6250,6250,8,Jan-60,T,CALDER RACE COURSE,FL,Y,332096,8,4146,354182
CRC,03-Oct-04,6,USA,,C,MSW,34,F,N,550,F,D,D,26000,77075,309,FT,C,TB,0,0,9,Jan-60,T,CALDER RACE COURSE,FL,Y,238183,9,4146,354182
CRC,03-Oct-04,7,USA,NW2     L,C,ALW,3U,B,N,850,F,T,T,27000,82438,337,GD,C,TB,0,0,10,Jan-60,T,CALDER RACE COURSE,FL,Y,236926,14,4146,354182
CRC,03-Oct-04,8,USA,NW2     L,C,CLM,3U,,N,550,F,D,D,8500,55928,407,FT,C,TB,9000,10000,10,Jan-60,T,CALDER RACE COURSE,FL,Y,170032,11,4146,354182
CRC,03-Oct-04,9,USA,,C,STK,3U,,Y,650,F,D,D,40000,83310,434,FT,C,TB,0,0,9,Jan-60,T,CALDER RACE COURSE,FL,Y,236285,10,4146,354182
CRC,03-Oct-04,10,USA,NW2       X,C,AOC,3U,,N,550,F,D,D,29000,92416,502,FT,C,TB,22500,25000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,277562,7,4146,354182
CRC,03-Oct-04,11,USA,,C,MCL,2,F,N,700,F,D,D,18000,74614,530,FT,C,TB,22500,25000,8,Jan-60,T,CALDER RACE COURSE,FL,Y,287951,8,4146,354182
CRC,04-Oct-04,1,USA,NW2     L,C,CLM,3U,B,N,550,F,D,D,13500,50925,1251,FT,C,TB,14000,16000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,143698,6,2864,238637
CRC,04-Oct-04,2,USA,,C,MSW,34,F,N,900,F,T,T,26000,53516,116,GD,C,TB,0,0,9,Jan-60,T,CALDER RACE COURSE,FL,Y,203410,10,2864,238637
CRC,04-Oct-04,3,USA,,C,MCL,34,F,N,600,F,D,D,7500,54257,142,FT,C,TB,12500,12500,6,Jan-60,T,CALDER RACE COURSE,FL,Y,200521,7,2864,238637
CRC,04-Oct-04,4,USA,,C,MCL,2,,N,700,F,D,D,18000,75578,211,FT,C,TB,22500,25000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,239915,7,2864,238637
CRC,04-Oct-04,5,USA,NW3       X,C,AOC,3U,,N,850,F,T,T,31000,72751,238,GD,C,TB,35000,40000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,255868,8,2864,238637
CRC,04-Oct-04,6,USA,,C,MCL,2,,N,500,F,D,D,7500,101181,305,FT,C,TB,12500,12500,8,Jan-60,T,CALDER RACE COURSE,FL,Y,319734,10,2864,238637
CRC,04-Oct-04,7,USA,,C,CLM,2,F,N,600,F,D,D,11000,108674,334,FT,C,TB,9000,10000,9,Jan-60,T,CALDER RACE COURSE,FL,Y,331657,9,2864,238637
CRC,04-Oct-04,8,USA,NW1       X,C,AOC,3U,B,N,550,F,D,D,27000,96396,401,FT,C,TB,14000,16000,9,Jan-60,T,CALDER RACE COURSE,FL,Y,288464,9,2864,238637
CRC,04-Oct-04,9,USA,,C,MCL,34,,N,550,F,D,D,7500,104004,430,FT,C,TB,12500,12500,11,Jan-60,T,CALDER RACE COURSE,FL,Y,423785,12,2864,238637
CRC,07-Oct-04,1,USA,C,C,CLM,3U,B,N,850,F,D,D,14500,58463,1250,FT,C,TB,14000,16000,6,Jan-60,T,CALDER RACE COURSE,FL,Y,177925,6,2996,217470
CRC,07-Oct-04,2,USA,NW2     L,C,CLM,3U,B,N,700,F,D,D,8500,91020,116,FT,C,TB,9000,10000,7,Jan-60,T,CALDER RACE COURSE,FL,Y,323112,7,2996,217470
